id$fname$x1$x2$y1$y2$thickness$same_counter
269$function drawLine$205.5$205.5$239.5$289.5$1$1
270$function drawLine$209.5$209.5$235.5$285.5$1$1
271$function drawLine$209.5$159.5$235.5$235.5$1$1
272$function drawLine$205.5$155.5$239.5$239.5$1$1
273$function drawLine$259.5$259.5$239.5$289.5$1$1
274$function drawLine$255.5$255.5$235.5$285.5$1$1
275$function drawLine$255.5$305.5$235.5$235.5$1$1
276$function drawLine$259.5$309.5$239.5$239.5$1$1
277$function drawLine$205.5$255.5$139.5$139.5$1$1
278$function drawLine$209.5$259.5$135.5$135.5$1$1
279$function drawLine$159.5$159.5$185.5$235.5$1$1
280$function drawLine$155.5$155.5$189.5$239.5$1$1
