name;0;1;2;3;4;5;6;7;8;9;category;category_value
127.png;5.672038e-10;0.996599;0.00028590055;0.0030839737;2.1734542e-05;1.4178095e-06;3.2683265e-06;1.1322892e-06;3.4729958e-06;4.815931e-08;1;0.996599
165.png;4.301434e-09;0.002649227;0.016670665;0.93794763;0.018632269;0.02394834;1.6441267e-06;2.7441392e-05;0.00012031912;2.5066975e-06;3;0.93794763
32.png;2.7304664e-10;6.8329186e-08;0.24244124;0.7575534;2.0149432e-06;5.4406917e-07;4.666536e-07;1.264641e-07;2.0268344e-06;3.0778935e-08;3;0.7575534
169.png;3.7538557e-12;4.7514142e-08;0.016694855;0.9785856;0.004713392;6.181548e-08;3.8148096e-07;1.1888844e-07;5.483143e-06;1.7539481e-09;3;0.9785856
126.png;8.634518e-09;0.48192078;0.13448113;0.35864663;0.024694435;6.0608686e-06;7.629949e-05;4.3321048e-05;0.00013059561;6.98634e-07;1;0.48192078
15.png;5.30784e-11;7.1774605e-07;0.23899414;0.7595949;0.0014050617;4.320399e-07;1.1830564e-06;1.9176409e-07;3.30691e-06;9.094141e-09;3;0.7595949
52.png;1.8386145e-10;6.825715e-06;0.0012770705;9.4904906e-05;0.99860007;2.248749e-06;7.3420097e-07;8.902504e-06;9.262773e-06;1.6958914e-08;4;0.99860007
150.png;4.978663e-09;0.002658566;0.20594436;0.7686832;0.02261632;6.4457727e-06;3.3176533e-05;5.0143894e-06;5.2601266e-05;3.3995565e-07;3;0.7686832
205.png;8.234238e-08;0.32461965;0.39562818;0.045550965;0.22307368;0.010851417;7.503101e-05;0.00010862414;6.92026e-05;2.3132752e-05;2;0.39562818
312.png;1.8865631e-10;1.4107242e-07;3.3840126e-05;1.9416411e-05;1.0998363e-06;3.3018885e-05;4.0379205e-06;0.7798413;0.048434954;0.17163219;7;0.7798413
38.png;5.4187826e-10;0.98581517;0.014135188;3.54546e-05;2.5334984e-06;3.0228748e-06;8.050996e-06;4.0244578e-07;1.0927853e-07;2.4871795e-08;1;0.98581517
360.png;4.670564e-11;3.3925025e-06;1.622407e-05;1.8303734e-07;1.9384743e-06;0.7904565;1.06056e-05;0.20950885;2.0918249e-06;2.2997558e-07;5;0.7904565
103.png;1.0330917e-10;2.9024939e-06;0.27464005;0.025116729;0.7001732;3.064865e-07;1.38628e-05;7.602515e-06;4.5315734e-05;1.4558497e-08;4;0.7001732
254.png;3.9790407e-09;1.4466527e-05;1.5988937e-05;1.203653e-05;3.3981041e-06;0.96865374;0.022123858;0.009147907;2.7554677e-05;1.0307232e-06;5;0.96865374
14.png;6.3292434e-11;2.2911507e-07;1.1803844e-06;6.3464944e-07;5.7289344e-07;3.9822626e-06;0.97995716;0.020029958;6.256035e-06;2.5467209e-08;6;0.97995716
317.png;1.55622e-09;0.0061203167;2.7867549e-05;0.9906785;0.0030474386;9.873766e-06;9.554784e-07;2.1276455e-06;0.00011266774;2.6682443e-07;3;0.9906785
164.png;1.9722102e-10;4.7020274e-07;2.834247e-06;1.6301186e-06;1.4672964e-06;0.0006815872;0.9850193;0.014248433;4.4125776e-05;9.306857e-08;6;0.9850193
201.png;8.133115e-09;0.0007733201;0.060200565;0.07895413;0.8596724;0.00028180395;8.997985e-06;2.442174e-05;8.266363e-05;1.6251522e-06;4;0.8596724
301.png;2.2069668e-10;0.9999982;1.8353381e-07;2.7546855e-07;5.5095575e-07;5.7996397e-07;1.2688892e-08;1.3817126e-07;1.3862304e-07;1.5399165e-08;1;0.9999982
259.png;1.406331e-11;1.9242252e-08;2.4501512e-07;2.4023803e-09;1.8552415e-08;4.4208293e-05;1.1523995e-06;0.99994254;1.176165e-05;1.523233e-08;7;0.99994254
98.png;9.4276316e-11;4.4043338e-07;2.7522208e-06;4.6396315e-07;9.4484795e-07;0.00036463613;0.036218483;0.9622668;0.0011449944;3.8526855e-07;7;0.9622668
313.png;7.282839e-09;0.12882039;0.002927437;0.8078825;0.045262404;0.01467214;3.233515e-06;6.350019e-05;0.00036337256;5.2316013e-06;3;0.8078825
320.png;1.9701238e-10;1.2453118e-06;8.996901e-06;4.6072914e-06;2.4074245e-05;0.0032138692;0.98688877;0.009811844;4.6511585e-05;1.0014671e-07;6;0.98688877
101.png;4.0836357e-10;8.5762224e-07;0.98762494;0.009840781;0.002497163;2.4403441e-06;4.269403e-06;6.5520226e-06;2.3035422e-05;7.744673e-08;2;0.98762494
321.png;1.9113105e-11;1.4858341e-07;1.5849245e-06;5.3720687e-08;1.2137501e-06;0.0020129073;0.0017942532;0.99618113;8.739193e-06;1.5624936e-08;7;0.99618113
175.png;1.7243301e-10;0.1757216;0.0001415312;0.00044123668;0.82329494;0.0003821682;1.0108401e-05;3.5469916e-06;4.796357e-06;1.4014195e-07;4;0.82329494
79.png;5.367241e-10;1.5089151e-05;0.013857667;9.6943855e-05;0.9859643;3.7731402e-06;2.3793812e-06;3.5143e-05;2.4687286e-05;4.4336257e-08;4;0.9859643
246.png;1.2364109e-12;3.4030293e-08;4.6032532e-08;2.065813e-09;1.0571974e-08;0.19417647;5.245932e-08;0.8057968;2.6582595e-05;1.7793083e-08;7;0.8057968
156.png;3.0506522e-09;3.4482828e-06;6.1716506e-05;4.706015e-05;1.8414632e-05;0.3040016;0.0011612412;0.6778931;0.016810127;3.2981125e-06;7;0.6778931
303.png;3.973044e-11;4.134872e-07;3.118083e-07;7.4532636e-08;2.9906718e-07;0.039267633;3.268315e-05;0.960648;5.0442544e-05;1.0467832e-07;7;0.960648
263.png;8.7739115e-11;3.1160316e-06;4.5662005e-06;1.0272286e-05;1.0908741e-05;1.3930873e-05;0.81330526;0.18663469;1.7133993e-05;6.649778e-08;6;0.81330526
