name;0;1;2;3;4;5;6;7;8;9;category;category_value
200.png;0.0;0.0;0.0;0.9951232;0.0048767384;0.0;0.0;0.0;0.0;0.0;3;0.9951232
63.png;0.0;1.05008246e-29;0.0;6.701802e-22;0.0;7.0472223e-25;1.7526312e-28;0.97718346;0.022816582;0.0;7;0.97718346
197.png;0.0;0.0;1.2537749e-21;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
112.png;0.0;0.0;1.0;4.7324287e-17;2.0131018e-37;0.0;2.6037132e-32;1.0138182e-11;0.0;0.0;2;1.0
226.png;0.0;1.0584205e-23;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
255.png;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6;1.0
1.png;0.0;0.0;7.992261e-27;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
168.png;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6;1.0
272.png;0.0;0.0;1.8520804e-16;1.0;0.0;0.0;4.853965e-30;0.0;2.886679e-33;0.0;3;1.0
121.png;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6;1.0
84.png;0.0;0.0;0.0;1.0;0.0;2.014017e-36;0.0;6.389353e-38;0.0;0.0;3;1.0
107.png;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
203.png;0.0;1.0;6.3042e-32;2.600617e-09;0.0;0.0;0.0;0.0;0.0;0.0;1;1.0
305.png;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
225.png;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;1.0
289.png;0.0;0.0;0.0;8.9781804e-38;0.0;1.0;3.4164284e-15;7.549897e-15;6.5681597e-28;0.0;5;1.0
137.png;0.0;7.507909e-29;3.232354e-21;0.00032826958;0.9996717;1.3889567e-28;2.1510757e-30;2.1297044e-26;0.0;0.0;4;0.9996717
17.png;0.0;0.0;1.7231309e-09;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
134.png;0.0;0.0;0.0;0.0;0.0;0.0;1.1479066e-14;1.0;4.9770774e-23;0.0;7;1.0
